Image Path,Output
/content/drive/MyDrive/Deep Learning/Image_set/other (28).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (43).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (40).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (15).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (12).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (27).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (37).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (44).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (22).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (8).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (30).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (32).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (11).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (2).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (29).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (20).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (50).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (47).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (46).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (49).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/other (48).jpg,Unknown
/content/drive/MyDrive/Deep Learning/Image_set/hamza (17).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (29).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (50).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (34).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (25).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (22).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (51).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (21).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (32).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (27).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (49).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (33).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (35).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (30).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (31).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (18).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (43).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (48).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (52).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (40).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (45).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (26).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (44).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (19).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (38).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (23).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (39).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (42).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (41).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (47).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (28).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (24).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (20).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (36).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (46).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (37).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (14).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (6).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (9).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (15).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (12).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (5).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (7).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (1).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (13).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (16).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (4).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (3).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (2).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (10).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (11).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/hamza (8).jpg,Hamza Ahmad
/content/drive/MyDrive/Deep Learning/Image_set/subhan (12).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (23).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (19).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (32).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (18).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (16).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (13).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (27).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (11).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (29).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (7).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (9).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (8).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (6).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (25).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (33).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (4).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (30).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (10).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (26).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (2).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (22).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (21).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (1).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (5).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (48).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (24).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (47).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (28).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (31).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (34).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (14).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (20).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (17).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (3).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (15).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (46).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (44).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (45).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (40).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (39).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (38).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (43).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (36).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (41).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (37).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (42).JPG,Subhan Wasif
/content/drive/MyDrive/Deep Learning/Image_set/subhan (35).JPG,Subhan Wasif
